record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-07-04 01:47:12,2026-07-04 01:00:00,46,34,13,46.3,5.5,1.6,2.8,25,78,1.5
2026-07-04 03:48:55,2026-07-04 03:00:00,42,42,15,37.8,8.3,1.6,2.8,24,83,0.5
2026-07-04 05:31:27,2026-07-04 05:00:00,53,53,20,31.7,4.6,1.6,2.8,23,88,1
2026-07-04 07:17:52,2026-07-04 07:00:00,61,61,25,27.3,3.7,1.6,3.7,26,78,0.5
2026-07-04 12:01:31,2026-07-04 11:00:00,63,63,29,43.5,7.4,0.6,3.7,28,69,2.5
