record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-06-14 00:45:54,2026-06-14 00:00:00,34,17,10,34.2,3.2,0.6,2.8,18,93,1.5
2026-06-14 02:43:36,2026-06-14 02:00:00,25,21,12,25.2,1.9,0.6,2.8,18,93,1.5
2026-06-14 04:40:28,2026-06-14 04:00:00,22,21,11,21.6,1.9,0.6,2.8,17,93,1.5
2026-06-14 06:18:50,2026-06-14 06:00:00,21,21,12,15.5,2.8,0.6,2.8,18,93,1.5
2026-06-14 08:21:17,2026-06-14 08:00:00,29,21,10,29.3,3.2,0.6,2.8,21,82,0.5
2026-06-14 14:04:55,2026-06-14 13:00:00,60,38,14,60.4,2.8,1.1,3.7,26,54,0.5
